Package Name,App Name
com.example.android.notepad,备忘录
com.google.android.gsf.login,Google帐户管理程序
com.hicloud.android.clone,手机克隆
com.huawei.accountagent,云服务
com.huawei.android.airsharing,华为无线分享
com.huawei.android.AutoRegSms,自动注册
com.huawei.android.calendarwidget,日历插件
com.huawei.android.chr,华为性差服务
com.huawei.android.dsdscardmanager,双卡管理
com.huawei.android.findmyphone,查找手机
com.huawei.android.FloatTasks,悬浮导航
com.huawei.android.FMRadio,收音机
com.huawei.android.hiaidsengine,AI智慧识屏
com.huawei.android.hsf,华为服务框架
com.huawei.android.hwaps,智能分辨率
com.huawei.android.hwouc,系统更新
com.huawei.android.hwpay,华为钱包支付防护中心
com.huawei.android.instantonline,在线检测
com.huawei.android.instantshare,华为分享服务
com.huawei.android.internal.app,华为分享
com.huawei.android.karaoke,K歌特效
com.huawei.android.launcher,华为桌面启动器
com.huawei.android.mewidget,桌面插件
com.huawei.android.mirrorshare,无线分享/share
com.huawei.android.projectmenu,工程菜单
com.huawei.android.pushagent,推送服务
com.huawei.android.remotecontroller,智能遥控
com.huawei.android.thememanager,主题
com.huawei.android.tips,玩机技巧
com.huawei.android.totemweather,天气数据服务
com.huawei.android.totemweatherapp,天气
com.huawei.android.totemweatherwidget,天气小工具
com.huawei.android.UEInfoCheck,自注册短信
com.huawei.android.wfdft,WLAN直连
com.huawei.aod,屏下指纹待机模块
com.huawei.appmarket,应用市场
com.huawei.bd,用户体验改进计划
com.huawei.bluetooth,通过蓝牙传输
com.huawei.bone,华为运动
com.huawei.ca,CA证书服务
com.huawei.calendar,日历
com.huawei.camera,相机
com.huawei.compass,指南针
com.huawei.contacts,联系人
com.huawei.contacts.sync,联系人同步
com.huawei.contactscamcard,华为扫描名片
com.huawei.contentsensor,取词
com.huawei.dtseffect,DTS控制
com.huawei.email,电子邮件
com.huawei.fans,花粉俱乐部
com.huawei.fastapp,快应用中心
com.huawei.featurelayer.sharedfeature.map,华为地图服务
com.huawei.fido.uafclient,线上快速身份验证服务
com.huawei.floatMms,短信悬浮窗
com.huawei.gameassistant,应用助手
com.huawei.gamebox,华为游戏中心
com.huawei.gamebox.global,游戏盒子
com.huawei.gamecenter,游戏中心
com.huawei.hbs.framework,布式框架服务
com.huawei.health,华为运动健康
com.huawei.hiaction,智能识屏中控模块
com.huawei.hiai,AI智慧引擎
com.huawei.hiboard,负一屏
com.huawei.hicard,互联车载分布式服务
com.huawei.hidisk,文件管理
com.huawei.hifolder,云文件夹/精品推荐
com.huawei.hilink.framework,华为分布式框架
com.huawei.himovie,华为视频
com.huawei.himovie.overseas,华为视频（海外）
com.huawei.hiskytone,天际通
com.huawei.hisuite,华为手机助手服务
com.huawei.hitouch,智慧识屏
com.huawei.hiview,电量低通知
com.huawei.hiviewtunnel,华为电池优化
com.huawei.hnreader,荣耀阅读
com.huawei.honorclub.android,荣耀俱乐部
com.huawei.hwapplet,旅行助手策略管理
com.huawei.hwasm,华为适配服务
com.huawei.hwdetectrepair,智能检测
com.huawei.hwid,华为移动(框架)服务
com.huawei.hwireader,华为阅读
com.huawei.hwmarket.vr,VR
com.huawei.HwMultiScreenShot,滚动截屏
com.huawei.hwpolicyservice,华为旅行助手服务
com.huawei.hwread.al,华为阅读
com.huawei.hwstartupguide,使用向导
com.huawei.iaware,智能优化
com.huawei.iconnect,智能家居互联
com.huawei.imedia.sws,音效管理
com.huawei.ims,基于IP传输组件
com.huawei.intelligent,智能助手
com.huawei.internetaudioservice,智能线控
com.huawei.KoBackup,备份
com.huawei.languagedownloader,下载语言
com.huawei.lbs,融合定位
com.huawei.lives,华为生活服务
com.huawei.mmitest,华为加载测试
com.huawei.motionservice,手势服务
com.huawei.msdp,综合传感处理服务平台
com.huawei.mycenter,会员中心
com.huawei.nearby,华为附近
com.huawei.notepad,备忘录
com.huawei.parentcontrol,学生模式
com.huawei.pcassistant,电脑协同端服务
com.huawei.pengine,智能建议
com.huawei.phoneservice,会员服务
com.huawei.powergenie,省电精灵
com.huawei.printservice,华为打印服务
com.huawei.rcsserviceapplication,华为融合通信服务
com.huawei.recsys,华为协同分析
com.huawei.regservice,华为注册服务
com.huawei.scanner,华为扫一扫
com.huawei.scenepack,华为旅行助手
com.huawei.screenrecorder,屏幕录制
com.huawei.search,桌面下拉搜索
com.huawei.secime,安全输入法
com.huawei.securitymgr,隐藏空间
com.huawei.skytone,天际通数据服务
com.huawei.smarthome,智能家居
com.huawei.smartlocation,存储分配单元服务
com.huawei.spaceservice,云空间
com.huawei.suggestion,情景智能
com.huawei.synergy,输入设备
com.huawei.systemmanager,手机管家
com.huawei.tips,智能提醒服务
com.huawei.trustagent,华为智能解锁
com.huawei.trustcircle,华为支付保护中心
com.huawei.trustspace,支付保护中心
com.huawei.vassistant,语言助手
com.huawei.vdrive,华为驾驶模式
com.huawei.videoeditor,视频编辑
com.huawei.wallet,华为钱包
com.huawei.watch.sync,手表同步
com.huawei.wifiprobqeservice,WIFI服务
com.huawei.yellowpage,在线黄页
com.iflytek.speechsuite,讯飞语音引擎
com.jingdong.app.mall,京东
com.nuance.swype.emui,华为swype输入法
com.qeexo.smartshot,智能截屏
com.tencent.mm,微信
com.tencent.mobileqq,QQ
com.unionpay.tsmservice,Tivoli存储管理器服务
com.vlife.huawei.wallpaper,动态壁纸
com.vmall.client,华为商城
huawei.com.android.manager,安卓
com.huawei.hwvplayer.youku,华为播放器优酷
